Fe,Cr,Ni,Mo,Mn,Si,Cu,S,P,C,N,O,Nb,Ti,W,Co,V,Al,Zr,Ta,Ce,Re,B,MfgRoute,T[oC],t[hr],EtoJ,Rrp,Process_Original,Coolingmedium_Original,Solution_Original,Process_Clustered,Coolingmedium_Clustered,Solution_Clustered
64.106,24.68,6.53,3.75,0.38,0.21,0.0,0.001,0.015,0.028,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,900,168.0,0.0486,0.0486,Solution aging,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
65.01,25.2,6.3,3.8,0.4,0.3,0.15,0.001,0.024,0.016,0.35,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,300,5.0,0.086,0.086,Stress relieving,Furnace Cooling,3.5 wt% NaCl,Processed/Treated,Air/Furnace Cooling,Chloride/Saline Solution
65.01,25.2,6.3,3.8,0.4,0.3,0.15,0.001,0.024,0.016,0.35,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25,0.0166,0.093,0.093,Asreceived/Asbuilt/Asweld/Ascast/Asmade/Asprinted,Furnace Cooling,3.5 wt% NaCl,As-received/Initial,Air/Furnace Cooling,Chloride/Saline Solution
65.01,25.2,6.3,3.8,0.4,0.3,0.15,0.001,0.024,0.016,0.35,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,400,1.0,0.14,0.061368000000000006,Stress relieving,Furnace Cooling,3.5 wt% NaCl,Processed/Treated,Air/Furnace Cooling,Chloride/Saline Solution
65.01,25.2,6.3,3.8,0.4,0.3,0.15,0.001,0.024,0.016,0.35,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,550,5.0,0.11,0.090342,Stress relieving,Furnace Cooling,3.5 wt% NaCl,Processed/Treated,Air/Furnace Cooling,Chloride/Saline Solution
12.7,14.1,64.39,0.0,5.68,0.45,0.04,0.006,0.03,0.042,0.0,0.0,1.7,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,620,24.0,0.046,0.046,Stress relieving,Air Cooling,0.05 M H2SO4,Processed/Treated,Air/Furnace Cooling,Acidic Solution
12.7,14.1,64.39,0.0,5.68,0.45,0.04,0.006,0.03,0.042,0.0,0.0,1.7,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,620,24.0,0.051,0.051,Stress relieving,Air Cooling,0.0001 M CH3CSNH2,Processed/Treated,Air/Furnace Cooling,Other/Mixed/Sulfate
64.84,18.4,0.0,0.0,15.8,0.24,0.0,0.005,0.017,0.044,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,900,0.0166,0.01857,0.01857,Solution aging,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
64.84,18.4,0.0,0.0,15.8,0.24,0.0,0.005,0.017,0.044,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,900,0.167,0.01431,0.01431,Solution aging,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
64.84,18.4,0.0,0.0,15.8,0.24,0.0,0.005,0.017,0.044,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,900,0.333,0.01525,0.01525,Solution aging,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
