Fe,Cr,Ni,Mo,Mn,Si,Cu,S,P,C,N,O,Nb,Ti,W,Co,V,Al,Zr,Ta,Ce,Re,B,MfgRoute,T[oC],t[hr],EtoJ,Rrp,Process_Clustered,Coolingmedium_Clustered,Solution_Clustered,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,HOMO_energy,LUMO_energy,Miedema_deltaH_inter,Miedema_deltaH_amor,Miedema_deltaH_ss_min,Yang omega,Yang delta,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons
65.01,25.2,6.3,3.8,0.4,0.3,0.15,0.001,0.024,0.016,0.35,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1100,0.25,0.1,0.1,1,2,2,12,0.6903083507057562,0.6524849891937534,0.641181424897591,0.6401839846790375,0.6400687020638878,6.0,42.0,36.0,26.117162885948332,1.4305505753589651,26.0,49.0,88.0,39.0,53.874655403276634,2.7235914629870135,55.0,12.0107,95.96,83.9493,56.32951617919031,3.279985412005748,55.845,54.8,3823.0,3768.2,1929.4447676433524,197.25107557617554,1811.0,6.0,16.0,10.0,7.599362003780719,0.9180301455409795,8.0,2.0,5.0,3.0,4.026671786389414,0.07283095486216613,4.0,66.0,154.0,88.0,133.79293675173284,4.1368868048805725,132.0,1.55,3.44,1.89,1.8089823566477627,0.07596779163088269,1.83,1.0,2.0,1.0,1.7130001575299307,0.4092618657844494,2.0,4.0,4.0,0.01797810333963453,0.03570556676976092,0.0,10.0,10.0,5.798676748582231,0.5432136016523665,6.0,0.0,0.0,0.0,0.0,4.0,11.0,7.0,7.529655009451794,0.9188101178437048,8.0,1.0,1.0,0.2869998424700693,0.40926186578444945,4.0,4.0,0.023846093257718963,0.04735973861794137,0.0,5.0,5.0,4.131616257088847,0.5027268833015893,4.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.4424621928166355,0.8938171772840054,4.0,5.64,25.786875,20.146874999999998,11.048286808562194,0.5045660252031626,10.73,6.437,6.437,0.025578804347826088,0.05080956691469069,2.1106628,2.1106628,1.38789086411346,0.9252403030872715,2.1106628,2.0,229.0,227.0,228.47516934467552,0.9715526525491478,229.0,-0.197978,-0.197978,0.0,0.0,0.0,16039803.34876313,0.03761241447634196,1.7130001575299307,0.01797810333963453,5.798676748582231,0.0,0.22750048380432344,0.0023876397148431174,0.7701118764808338,0.0
63.4,24.88,6.61,3.47,0.69,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1000,0.583,0.1889,0.01414038,1,2,2,6,0.6876859729862869,0.649123592313507,0.6374722599098493,0.636420860933539,0.6362961575823991,14.0,42.0,28.0,26.112505018065036,1.3570042034906575,26.0,49.0,78.0,29.0,53.841128061019674,2.7106856461664224,55.0,28.0855,95.96,67.8745,56.29925971547571,3.080048897390704,55.845,1519.0,2896.0,1377.0,1932.661983139301,190.61727775995163,1811.0,6.0,14.0,8.0,7.592232035327179,0.914259701041775,8.0,3.0,5.0,2.0,4.0289040545965475,0.06763755380469649,4.0,111.0,154.0,43.0,133.90746688077076,4.01319072224842,132.0,1.55,2.16,0.6100000000000001,1.8028261742272182,0.07482868877940507,1.83,1.0,2.0,1.0,1.715475712565235,0.4071404345890085,2.0,2.0,2.0,0.011842633480529908,0.02354501899330565,0.0,8.0,8.0,5.805700521878764,0.538396356147486,6.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0,7.53301886792453,0.9215846860016808,8.0,1.0,1.0,0.28452428743476516,0.40714043458900856,4.0,4.0,0.023685266961059815,0.0470900379866113,0.0,5.0,5.0,4.135086310718587,0.5041568353418756,4.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.443295865114412,0.8935505434981431,4.0,10.32,20.44,10.120000000000001,11.046213714198727,0.506496891029484,10.73,0.773,0.773,0.004577177840224809,0.009100149840912633,2.1106628,2.1106628,1.3824949264379351,0.9266528138064012,2.1106628,217.0,229.0,12.0,228.63970293055,0.6635338442801894,229.0,-0.197978,-0.197978,-0.07723811916691585,-0.002458619400419465,-0.1725608026671575,6.348581677076004,0.02698545743821838,1.715475712565235,0.011842633480529908,5.805700521878764,0.0,0.22772752101680008,0.0015720966173277018,0.7707003823658721,0.0
63.4,24.88,6.61,3.47,0.69,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1050,0.583,0.19357,0.009630094,1,2,2,6,0.6876859729862869,0.649123592313507,0.6374722599098493,0.636420860933539,0.6362961575823991,14.0,42.0,28.0,26.112505018065036,1.3570042034906575,26.0,49.0,78.0,29.0,53.841128061019674,2.7106856461664224,55.0,28.0855,95.96,67.8745,56.29925971547571,3.080048897390704,55.845,1519.0,2896.0,1377.0,1932.661983139301,190.61727775995163,1811.0,6.0,14.0,8.0,7.592232035327179,0.914259701041775,8.0,3.0,5.0,2.0,4.0289040545965475,0.06763755380469649,4.0,111.0,154.0,43.0,133.90746688077076,4.01319072224842,132.0,1.55,2.16,0.6100000000000001,1.8028261742272182,0.07482868877940507,1.83,1.0,2.0,1.0,1.715475712565235,0.4071404345890085,2.0,2.0,2.0,0.011842633480529908,0.02354501899330565,0.0,8.0,8.0,5.805700521878764,0.538396356147486,6.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0,7.53301886792453,0.9215846860016808,8.0,1.0,1.0,0.28452428743476516,0.40714043458900856,4.0,4.0,0.023685266961059815,0.0470900379866113,0.0,5.0,5.0,4.135086310718587,0.5041568353418756,4.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.443295865114412,0.8935505434981431,4.0,10.32,20.44,10.120000000000001,11.046213714198727,0.506496891029484,10.73,0.773,0.773,0.004577177840224809,0.009100149840912633,2.1106628,2.1106628,1.3824949264379351,0.9266528138064012,2.1106628,217.0,229.0,12.0,228.63970293055,0.6635338442801894,229.0,-0.197978,-0.197978,-0.07723811916691585,-0.002458619400419465,-0.1725608026671575,6.348581677076004,0.02698545743821838,1.715475712565235,0.011842633480529908,5.805700521878764,0.0,0.22772752101680008,0.0015720966173277018,0.7707003823658721,0.0
63.4,24.88,6.61,3.47,0.69,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1100,0.583,0.16746,0.034847132,1,2,2,6,0.6876859729862869,0.649123592313507,0.6374722599098493,0.636420860933539,0.6362961575823991,14.0,42.0,28.0,26.112505018065036,1.3570042034906575,26.0,49.0,78.0,29.0,53.841128061019674,2.7106856461664224,55.0,28.0855,95.96,67.8745,56.29925971547571,3.080048897390704,55.845,1519.0,2896.0,1377.0,1932.661983139301,190.61727775995163,1811.0,6.0,14.0,8.0,7.592232035327179,0.914259701041775,8.0,3.0,5.0,2.0,4.0289040545965475,0.06763755380469649,4.0,111.0,154.0,43.0,133.90746688077076,4.01319072224842,132.0,1.55,2.16,0.6100000000000001,1.8028261742272182,0.07482868877940507,1.83,1.0,2.0,1.0,1.715475712565235,0.4071404345890085,2.0,2.0,2.0,0.011842633480529908,0.02354501899330565,0.0,8.0,8.0,5.805700521878764,0.538396356147486,6.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0,7.53301886792453,0.9215846860016808,8.0,1.0,1.0,0.28452428743476516,0.40714043458900856,4.0,4.0,0.023685266961059815,0.0470900379866113,0.0,5.0,5.0,4.135086310718587,0.5041568353418756,4.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.443295865114412,0.8935505434981431,4.0,10.32,20.44,10.120000000000001,11.046213714198727,0.506496891029484,10.73,0.773,0.773,0.004577177840224809,0.009100149840912633,2.1106628,2.1106628,1.3824949264379351,0.9266528138064012,2.1106628,217.0,229.0,12.0,228.63970293055,0.6635338442801894,229.0,-0.197978,-0.197978,-0.07723811916691585,-0.002458619400419465,-0.1725608026671575,6.348581677076004,0.02698545743821838,1.715475712565235,0.011842633480529908,5.805700521878764,0.0,0.22772752101680008,0.0015720966173277018,0.7707003823658721,0.0
63.4,24.88,6.61,3.47,0.69,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1150,0.583,0.16753,0.034779526,1,2,2,6,0.6876859729862869,0.649123592313507,0.6374722599098493,0.636420860933539,0.6362961575823991,14.0,42.0,28.0,26.112505018065036,1.3570042034906575,26.0,49.0,78.0,29.0,53.841128061019674,2.7106856461664224,55.0,28.0855,95.96,67.8745,56.29925971547571,3.080048897390704,55.845,1519.0,2896.0,1377.0,1932.661983139301,190.61727775995163,1811.0,6.0,14.0,8.0,7.592232035327179,0.914259701041775,8.0,3.0,5.0,2.0,4.0289040545965475,0.06763755380469649,4.0,111.0,154.0,43.0,133.90746688077076,4.01319072224842,132.0,1.55,2.16,0.6100000000000001,1.8028261742272182,0.07482868877940507,1.83,1.0,2.0,1.0,1.715475712565235,0.4071404345890085,2.0,2.0,2.0,0.011842633480529908,0.02354501899330565,0.0,8.0,8.0,5.805700521878764,0.538396356147486,6.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0,7.53301886792453,0.9215846860016808,8.0,1.0,1.0,0.28452428743476516,0.40714043458900856,4.0,4.0,0.023685266961059815,0.0470900379866113,0.0,5.0,5.0,4.135086310718587,0.5041568353418756,4.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.443295865114412,0.8935505434981431,4.0,10.32,20.44,10.120000000000001,11.046213714198727,0.506496891029484,10.73,0.773,0.773,0.004577177840224809,0.009100149840912633,2.1106628,2.1106628,1.3824949264379351,0.9266528138064012,2.1106628,217.0,229.0,12.0,228.63970293055,0.6635338442801894,229.0,-0.197978,-0.197978,-0.07723811916691585,-0.002458619400419465,-0.1725608026671575,6.348581677076004,0.02698545743821838,1.715475712565235,0.011842633480529908,5.805700521878764,0.0,0.22772752101680008,0.0015720966173277018,0.7707003823658721,0.0
63.4,24.88,6.61,3.47,0.69,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1200,0.583,0.16042,0.0416463639999999,1,2,2,6,0.6876859729862869,0.649123592313507,0.6374722599098493,0.636420860933539,0.6362961575823991,14.0,42.0,28.0,26.112505018065036,1.3570042034906575,26.0,49.0,78.0,29.0,53.841128061019674,2.7106856461664224,55.0,28.0855,95.96,67.8745,56.29925971547571,3.080048897390704,55.845,1519.0,2896.0,1377.0,1932.661983139301,190.61727775995163,1811.0,6.0,14.0,8.0,7.592232035327179,0.914259701041775,8.0,3.0,5.0,2.0,4.0289040545965475,0.06763755380469649,4.0,111.0,154.0,43.0,133.90746688077076,4.01319072224842,132.0,1.55,2.16,0.6100000000000001,1.8028261742272182,0.07482868877940507,1.83,1.0,2.0,1.0,1.715475712565235,0.4071404345890085,2.0,2.0,2.0,0.011842633480529908,0.02354501899330565,0.0,8.0,8.0,5.805700521878764,0.538396356147486,6.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0,7.53301886792453,0.9215846860016808,8.0,1.0,1.0,0.28452428743476516,0.40714043458900856,4.0,4.0,0.023685266961059815,0.0470900379866113,0.0,5.0,5.0,4.135086310718587,0.5041568353418756,4.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.443295865114412,0.8935505434981431,4.0,10.32,20.44,10.120000000000001,11.046213714198727,0.506496891029484,10.73,0.773,0.773,0.004577177840224809,0.009100149840912633,2.1106628,2.1106628,1.3824949264379351,0.9266528138064012,2.1106628,217.0,229.0,12.0,228.63970293055,0.6635338442801894,229.0,-0.197978,-0.197978,-0.07723811916691585,-0.002458619400419465,-0.1725608026671575,6.348581677076004,0.02698545743821838,1.715475712565235,0.011842633480529908,5.805700521878764,0.0,0.22772752101680008,0.0015720966173277018,0.7707003823658721,0.0
63.4,24.88,6.61,3.47,0.69,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1050,0.333,0.0641,0.0641,1,2,2,6,0.6876859729862869,0.649123592313507,0.6374722599098493,0.636420860933539,0.6362961575823991,14.0,42.0,28.0,26.112505018065036,1.3570042034906575,26.0,49.0,78.0,29.0,53.841128061019674,2.7106856461664224,55.0,28.0855,95.96,67.8745,56.29925971547571,3.080048897390704,55.845,1519.0,2896.0,1377.0,1932.661983139301,190.61727775995163,1811.0,6.0,14.0,8.0,7.592232035327179,0.914259701041775,8.0,3.0,5.0,2.0,4.0289040545965475,0.06763755380469649,4.0,111.0,154.0,43.0,133.90746688077076,4.01319072224842,132.0,1.55,2.16,0.6100000000000001,1.8028261742272182,0.07482868877940507,1.83,1.0,2.0,1.0,1.715475712565235,0.4071404345890085,2.0,2.0,2.0,0.011842633480529908,0.02354501899330565,0.0,8.0,8.0,5.805700521878764,0.538396356147486,6.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0,7.53301886792453,0.9215846860016808,8.0,1.0,1.0,0.28452428743476516,0.40714043458900856,4.0,4.0,0.023685266961059815,0.0470900379866113,0.0,5.0,5.0,4.135086310718587,0.5041568353418756,4.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.443295865114412,0.8935505434981431,4.0,10.32,20.44,10.120000000000001,11.046213714198727,0.506496891029484,10.73,0.773,0.773,0.004577177840224809,0.009100149840912633,2.1106628,2.1106628,1.3824949264379351,0.9266528138064012,2.1106628,217.0,229.0,12.0,228.63970293055,0.6635338442801894,229.0,-0.197978,-0.197978,-0.07723811916691585,-0.002458619400419465,-0.1725608026671575,6.348581677076004,0.02698545743821838,1.715475712565235,0.011842633480529908,5.805700521878764,0.0,0.22772752101680008,0.0015720966173277018,0.7707003823658721,0.0
63.4,24.88,6.61,3.47,0.69,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1050,0.5,0.0546,0.0546,1,2,2,6,0.6876859729862869,0.649123592313507,0.6374722599098493,0.636420860933539,0.6362961575823991,14.0,42.0,28.0,26.112505018065036,1.3570042034906575,26.0,49.0,78.0,29.0,53.841128061019674,2.7106856461664224,55.0,28.0855,95.96,67.8745,56.29925971547571,3.080048897390704,55.845,1519.0,2896.0,1377.0,1932.661983139301,190.61727775995163,1811.0,6.0,14.0,8.0,7.592232035327179,0.914259701041775,8.0,3.0,5.0,2.0,4.0289040545965475,0.06763755380469649,4.0,111.0,154.0,43.0,133.90746688077076,4.01319072224842,132.0,1.55,2.16,0.6100000000000001,1.8028261742272182,0.07482868877940507,1.83,1.0,2.0,1.0,1.715475712565235,0.4071404345890085,2.0,2.0,2.0,0.011842633480529908,0.02354501899330565,0.0,8.0,8.0,5.805700521878764,0.538396356147486,6.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0,7.53301886792453,0.9215846860016808,8.0,1.0,1.0,0.28452428743476516,0.40714043458900856,4.0,4.0,0.023685266961059815,0.0470900379866113,0.0,5.0,5.0,4.135086310718587,0.5041568353418756,4.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.443295865114412,0.8935505434981431,4.0,10.32,20.44,10.120000000000001,11.046213714198727,0.506496891029484,10.73,0.773,0.773,0.004577177840224809,0.009100149840912633,2.1106628,2.1106628,1.3824949264379351,0.9266528138064012,2.1106628,217.0,229.0,12.0,228.63970293055,0.6635338442801894,229.0,-0.197978,-0.197978,-0.07723811916691585,-0.002458619400419465,-0.1725608026671575,6.348581677076004,0.02698545743821838,1.715475712565235,0.011842633480529908,5.805700521878764,0.0,0.22772752101680008,0.0015720966173277018,0.7707003823658721,0.0
63.4,24.88,6.61,3.47,0.69,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1050,0.667,0.05913,0.05913,1,2,2,6,0.6876859729862869,0.649123592313507,0.6374722599098493,0.636420860933539,0.6362961575823991,14.0,42.0,28.0,26.112505018065036,1.3570042034906575,26.0,49.0,78.0,29.0,53.841128061019674,2.7106856461664224,55.0,28.0855,95.96,67.8745,56.29925971547571,3.080048897390704,55.845,1519.0,2896.0,1377.0,1932.661983139301,190.61727775995163,1811.0,6.0,14.0,8.0,7.592232035327179,0.914259701041775,8.0,3.0,5.0,2.0,4.0289040545965475,0.06763755380469649,4.0,111.0,154.0,43.0,133.90746688077076,4.01319072224842,132.0,1.55,2.16,0.6100000000000001,1.8028261742272182,0.07482868877940507,1.83,1.0,2.0,1.0,1.715475712565235,0.4071404345890085,2.0,2.0,2.0,0.011842633480529908,0.02354501899330565,0.0,8.0,8.0,5.805700521878764,0.538396356147486,6.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0,7.53301886792453,0.9215846860016808,8.0,1.0,1.0,0.28452428743476516,0.40714043458900856,4.0,4.0,0.023685266961059815,0.0470900379866113,0.0,5.0,5.0,4.135086310718587,0.5041568353418756,4.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.443295865114412,0.8935505434981431,4.0,10.32,20.44,10.120000000000001,11.046213714198727,0.506496891029484,10.73,0.773,0.773,0.004577177840224809,0.009100149840912633,2.1106628,2.1106628,1.3824949264379351,0.9266528138064012,2.1106628,217.0,229.0,12.0,228.63970293055,0.6635338442801894,229.0,-0.197978,-0.197978,-0.07723811916691585,-0.002458619400419465,-0.1725608026671575,6.348581677076004,0.02698545743821838,1.715475712565235,0.011842633480529908,5.805700521878764,0.0,0.22772752101680008,0.0015720966173277018,0.7707003823658721,0.0
63.4,24.88,6.61,3.47,0.69,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1050,1.0,0.06533,0.06533,1,2,2,6,0.6876859729862869,0.649123592313507,0.6374722599098493,0.636420860933539,0.6362961575823991,14.0,42.0,28.0,26.112505018065036,1.3570042034906575,26.0,49.0,78.0,29.0,53.841128061019674,2.7106856461664224,55.0,28.0855,95.96,67.8745,56.29925971547571,3.080048897390704,55.845,1519.0,2896.0,1377.0,1932.661983139301,190.61727775995163,1811.0,6.0,14.0,8.0,7.592232035327179,0.914259701041775,8.0,3.0,5.0,2.0,4.0289040545965475,0.06763755380469649,4.0,111.0,154.0,43.0,133.90746688077076,4.01319072224842,132.0,1.55,2.16,0.6100000000000001,1.8028261742272182,0.07482868877940507,1.83,1.0,2.0,1.0,1.715475712565235,0.4071404345890085,2.0,2.0,2.0,0.011842633480529908,0.02354501899330565,0.0,8.0,8.0,5.805700521878764,0.538396356147486,6.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0,7.53301886792453,0.9215846860016808,8.0,1.0,1.0,0.28452428743476516,0.40714043458900856,4.0,4.0,0.023685266961059815,0.0470900379866113,0.0,5.0,5.0,4.135086310718587,0.5041568353418756,4.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.443295865114412,0.8935505434981431,4.0,10.32,20.44,10.120000000000001,11.046213714198727,0.506496891029484,10.73,0.773,0.773,0.004577177840224809,0.009100149840912633,2.1106628,2.1106628,1.3824949264379351,0.9266528138064012,2.1106628,217.0,229.0,12.0,228.63970293055,0.6635338442801894,229.0,-0.197978,-0.197978,-0.07723811916691585,-0.002458619400419465,-0.1725608026671575,6.348581677076004,0.02698545743821838,1.715475712565235,0.011842633480529908,5.805700521878764,0.0,0.22772752101680008,0.0015720966173277018,0.7707003823658721,0.0
